id,treatment,choice,sex,day
43,dog,fresh,F,1
9,rotten,fresh,F,1
119,fresh,fresh,F,1
10,dog,rotten,M,1
38,rotten,rotten,M,1
99,dog,rotten,F,1
36,fresh,rotten,M,1
47,fresh,fresh,F,1
7,fresh,fresh,F,1
101,dog,fresh,F,1
89,rotten,rotten,F,1
32,fresh,rotten,M,1
42,dog,rotten,M,1
83,rotten,rotten,F,1
14,fresh,fresh,M,1
25,dog,rotten,F,1
60,rotten,rotten,M,1
45,fresh,fresh,F,1
44,dog,fresh,M,1
87,rotten,rotten,F,1
41,rotten,rotten,F,1
55,fresh,fresh,F,1
12,dog,fresh,M,1
107,dog,rotten,F,1
75,fresh,fresh,F,1
11,dog,rotten,F,0
18,rotten,rotten,M,0
77,fresh,rotten,F,0
105,dog,fresh,F,0
33,rotten,rotten,F,0
53,fresh,fresh,F,0
37,dog,fresh,F,0
5,rotten,rotten,F,0
57,fresh,fresh,F,0
50,dog,rotten,M,0
6,rotten,fresh,M,0
29,fresh,fresh,F,0
52,dog,fresh,M,0
1,rotten,fresh,F,0
8,fresh,rotten,M,0
39,dog,rotten,F,0
24,rotten,rotten,M,0
97,dog,rotten,F,0
46,dog,rotten,M,0
40,rotten,rotten,M,0
2,fresh,rotten,M,0
13,dog,fresh,F,0
98,rotten,rotten,F,0
67,fresh,fresh,F,0
3,dog,fresh,F,0
