id,treatment,choice,sampled,sex,day
43,dog,fresh,TRUE,F,2.11.2012
9,rotten,fresh,TRUE,F,2.11.2012
119,fresh,fresh,TRUE,F,2.11.2012
10,dog,rotten,TRUE,M,2.11.2012
38,rotten,rotten,TRUE,M,2.11.2012
99,dog,rotten,TRUE,F,2.11.2012
36,fresh,rotten,TRUE,M,2.11.2012
47,fresh,fresh,TRUE,F,2.11.2012
7,fresh,fresh,TRUE,F,2.11.2012
101,dog,fresh,TRUE,F,2.11.2012
89,rotten,rotten,TRUE,F,2.11.2012
32,fresh,rotten,TRUE,M,2.11.2012
42,dog,rotten,TRUE,M,2.11.2012
83,rotten,rotten,TRUE,F,2.11.2012
14,fresh,fresh,TRUE,M,2.11.2012
25,dog,rotten,TRUE,F,2.11.2012
60,rotten,rotten,TRUE,M,2.11.2012
45,fresh,fresh,TRUE,F,2.11.2012
44,dog,fresh,TRUE,M,2.11.2012
87,rotten,rotten,TRUE,F,2.11.2012
41,rotten,rotten,TRUE,F,2.11.2012
55,fresh,fresh,TRUE,F,2.11.2012
12,dog,fresh,TRUE,M,2.11.2012
107,dog,rotten,TRUE,F,2.11.2012
75,fresh,fresh,TRUE,F,2.11.2012
11,dog,rotten,TRUE,F,3.11.2012
18,rotten,rotten,TRUE,M,3.11.2012
77,fresh,rotten,TRUE,F,3.11.2012
105,dog,fresh,TRUE,F,3.11.2012
33,rotten,rotten,TRUE,F,3.11.2012
53,fresh,fresh,TRUE,F,3.11.2012
37,dog,fresh,TRUE,F,3.11.2012
5,rotten,rotten,TRUE,F,3.11.2012
57,fresh,fresh,TRUE,F,3.11.2012
50,dog,rotten,TRUE,M,3.11.2012
6,rotten,fresh,TRUE,M,3.11.2012
29,fresh,fresh,TRUE,F,3.11.2012
52,dog,fresh,TRUE,M,3.11.2012
1,rotten,fresh,TRUE,F,3.11.2012
8,fresh,rotten,TRUE,M,3.11.2012
39,dog,rotten,TRUE,F,3.11.2012
24,rotten,rotten,TRUE,M,3.11.2012
97,dog,rotten,TRUE,F,3.11.2012
46,dog,rotten,TRUE,M,3.11.2012
40,rotten,rotten,TRUE,M,3.11.2012
2,fresh,rotten,TRUE,M,3.11.2012
13,dog,fresh,TRUE,F,3.11.2012
98,rotten,rotten,TRUE,F,3.11.2012
67,fresh,fresh,TRUE,F,3.11.2012
3,dog,fresh,TRUE,F,3.11.2012
34,fresh,fresh,FALSE,M,2.11.2012
91,rotten,rotten,FALSE,F,2.11.2013
20,rotten,rotten,FALSE,M,2.11.2014
31,rotten,rotten,FALSE,F,2.11.2015
115,fresh,fresh,FALSE,F,2.11.2016
